Interacting Pair,First CM,Second CM,Mean Reduction,Standard Deviation,Interaction Seen
"[9, 15]",Public Indoor Gathering Person Limit - 2,Private Indoor Gathering Person Limit - 10,0.09772,0.06257,True
"[4, 16]",Curfew,Private Indoor Gathering Person Limit - 30,0.17667,0.02211,True
"[5, 17]",Primary Schools Closed,Extra Private Indoor Household Limit,-0.00993,0.01383,False
"[6, 18]",Secondary Schools Closed,Mandatory Mask Wearing >= 3,0.04043,0.00964,True
"[9, 12]",Public Indoor Gathering Person Limit - 2,Extra Public Indoor Household Limit,0.04724,0.03942,True
"[10, 13]",Public Indoor Gathering Person Limit - 10,Private Indoor Gathering Person Limit - 1,0.5159,0.02105,True
"[8, 11]",Public Indoor Gathering Person Limit - 1,Public Indoor Gathering Person Limit - 30,-0.25587,0.14613,True
"[3, 0]",Retail Closed,Night Clubs Closed,0.0835,0.05697,True
"[2, 7]",Leisure Venues Closed,Universities Away,-0.14764,0.01218,True
"[4, 17]",Curfew,Extra Private Indoor Household Limit,0.26724,0.02262,True
"[5, 16]",Primary Schools Closed,Private Indoor Gathering Person Limit - 30,0.02502,0.02574,False
"[7, 18]",Universities Away,Mandatory Mask Wearing >= 3,0.02725,0.00794,True
"[11, 6]",Public Indoor Gathering Person Limit - 30,Secondary Schools Closed,-0.05023,0.02723,True
"[2, 12]",Leisure Venues Closed,Extra Public Indoor Household Limit,0.1024,0.02019,True
"[13, 0]",Private Indoor Gathering Person Limit - 1,Night Clubs Closed,0.06889,0.05253,True
"[9, 15]",Public Indoor Gathering Person Limit - 2,Private Indoor Gathering Person Limit - 10,0.00404,0.02332,False
"[10, 3]",Public Indoor Gathering Person Limit - 10,Retail Closed,0.06413,0.03704,True
"[4, 18]",Curfew,Mandatory Mask Wearing >= 3,0.04515,0.03927,True
"[6, 16]",Secondary Schools Closed,Private Indoor Gathering Person Limit - 30,-0.02894,0.01667,True
"[7, 17]",Universities Away,Extra Private Indoor Household Limit,-0.2971,0.01495,True
"[5, 0]",Primary Schools Closed,Night Clubs Closed,0.1571,0.01414,True
"[2, 14]",Leisure Venues Closed,Private Indoor Gathering Person Limit - 2,0.01875,0.01867,True
"[1, 10]",Gastronomy Closed,Public Indoor Gathering Person Limit - 10,0.23245,0.01113,True
"[11, 3]",Public Indoor Gathering Person Limit - 30,Retail Closed,0.01132,0.02451,False
"[9, 8]",Public Indoor Gathering Person Limit - 2,Public Indoor Gathering Person Limit - 1,-0.10393,0.08059,True
"[5, 18]",Primary Schools Closed,Mandatory Mask Wearing >= 3,0.0352,0.00983,True
"[6, 17]",Secondary Schools Closed,Extra Private Indoor Household Limit,0.05426,0.018,True
"[7, 16]",Universities Away,Private Indoor Gathering Person Limit - 30,-0.19812,0.00921,True
"[0, 12]",Night Clubs Closed,Extra Public Indoor Household Limit,-0.04743,0.04109,True
"[15, 13]",Private Indoor Gathering Person Limit - 10,Private Indoor Gathering Person Limit - 1,0.16175,0.09658,True
"[14, 9]",Private Indoor Gathering Person Limit - 2,Public Indoor Gathering Person Limit - 2,0.30306,0.01817,True
"[1, 2]",Gastronomy Closed,Leisure Venues Closed,0.17092,0.01507,True
"[10, 4]",Public Indoor Gathering Person Limit - 10,Curfew,0.15576,0.02962,True
"[8, 16]",Public Indoor Gathering Person Limit - 1,Private Indoor Gathering Person Limit - 30,-0.26336,0.18773,True
"[9, 17]",Public Indoor Gathering Person Limit - 2,Extra Private Indoor Household Limit,0.39172,0.0182,True
"[10, 18]",Public Indoor Gathering Person Limit - 10,Mandatory Mask Wearing >= 3,0.02539,0.01706,True
"[11, 15]",Public Indoor Gathering Person Limit - 30,Private Indoor Gathering Person Limit - 10,0.29232,0.01633,True
"[13, 14]",Private Indoor Gathering Person Limit - 1,Private Indoor Gathering Person Limit - 2,0.18645,0.109,True
"[7, 4]",Universities Away,Curfew,-0.04532,0.04882,False
"[2, 12]",Leisure Venues Closed,Extra Public Indoor Household Limit,0.14559,0.02036,True
"[6, 5]",Secondary Schools Closed,Primary Schools Closed,0.02927,0.03046,False
"[8, 17]",Public Indoor Gathering Person Limit - 1,Extra Private Indoor Household Limit,0.22479,0.02392,True
"[9, 16]",Public Indoor Gathering Person Limit - 2,Private Indoor Gathering Person Limit - 30,0.12605,0.07925,True
"[11, 18]",Public Indoor Gathering Person Limit - 30,Mandatory Mask Wearing >= 3,0.1679,0.02075,True
"[3, 14]",Retail Closed,Private Indoor Gathering Person Limit - 2,0.2047,0.02196,True
"[0, 4]",Night Clubs Closed,Curfew,0.03592,0.03468,True
"[2, 1]",Leisure Venues Closed,Gastronomy Closed,0.14927,0.01429,True
"[13, 6]",Private Indoor Gathering Person Limit - 1,Secondary Schools Closed,-0.00887,0.01488,False
"[7, 12]",Universities Away,Extra Public Indoor Household Limit,-0.15713,0.01356,True
