date,confirm,region
2020-08-11,14,Salzburg
2020-08-12,13,Salzburg
2020-08-13,9,Salzburg
2020-08-14,18,Salzburg
2020-08-15,7,Salzburg
2020-08-16,4,Salzburg
2020-08-17,1,Salzburg
2020-08-18,28,Salzburg
2020-08-19,15,Salzburg
2020-08-20,0,Salzburg
2020-08-21,19,Salzburg
2020-08-22,16,Salzburg
2020-08-23,0,Salzburg
2020-08-24,13,Salzburg
2020-08-25,8,Salzburg
2020-08-26,7,Salzburg
2020-08-27,7,Salzburg
2020-08-28,13,Salzburg
2020-08-29,13,Salzburg
2020-08-30,1,Salzburg
2020-08-31,9,Salzburg
2020-09-01,9,Salzburg
2020-09-02,7,Salzburg
2020-09-03,5,Salzburg
2020-09-04,10,Salzburg
2020-09-05,19,Salzburg
2020-09-06,4,Salzburg
2020-09-07,11,Salzburg
2020-09-08,9,Salzburg
2020-09-09,17,Salzburg
2020-09-10,16,Salzburg
2020-09-11,23,Salzburg
2020-09-12,17,Salzburg
2020-09-13,0,Salzburg
2020-09-14,17,Salzburg
2020-09-15,19,Salzburg
2020-09-16,29,Salzburg
2020-09-17,39,Salzburg
2020-09-18,40,Salzburg
2020-09-19,28,Salzburg
2020-09-20,22,Salzburg
2020-09-21,18,Salzburg
2020-09-22,11,Salzburg
2020-09-23,34,Salzburg
2020-09-24,33,Salzburg
2020-09-25,33,Salzburg
2020-09-26,18,Salzburg
2020-09-27,16,Salzburg
2020-09-28,24,Salzburg
2020-09-29,49,Salzburg
2020-09-30,27,Salzburg
2020-10-01,47,Salzburg
2020-10-02,42,Salzburg
2020-10-03,23,Salzburg
2020-10-04,36,Salzburg
2020-10-05,44,Salzburg
2020-10-06,45,Salzburg
2020-10-07,53,Salzburg
2020-10-08,84,Salzburg
2020-10-09,107,Salzburg
2020-10-10,40,Salzburg
2020-10-11,52,Salzburg
2020-10-12,141,Salzburg
2020-10-13,95,Salzburg
2020-10-14,102,Salzburg
2020-10-15,221,Salzburg
2020-10-16,95,Salzburg
2020-10-17,168,Salzburg
2020-10-18,131,Salzburg
2020-10-19,173,Salzburg
2020-10-20,170,Salzburg
2020-10-21,269,Salzburg
2020-10-22,287,Salzburg
2020-10-23,267,Salzburg
2020-10-24,173,Salzburg
2020-10-25,309,Salzburg
2020-10-26,134,Salzburg
2020-10-27,258,Salzburg
2020-10-28,289,Salzburg
2020-10-29,412,Salzburg
2020-10-30,326,Salzburg
2020-10-31,351,Salzburg
2020-11-01,411,Salzburg
2020-11-02,251,Salzburg
2020-11-03,437,Salzburg
2020-11-04,488,Salzburg
2020-11-05,702,Salzburg
2020-11-06,653,Salzburg
2020-11-07,308,Salzburg
2020-11-08,409,Salzburg
2020-11-09,312,Salzburg
2020-11-10,301,Salzburg
2020-11-11,790,Salzburg
2020-11-12,806,Salzburg
2020-11-13,482,Salzburg
2020-11-14,248,Salzburg
2020-11-15,647,Salzburg
2020-11-16,647,Salzburg
2020-11-17,647,Salzburg
2020-11-18,520,Salzburg
2020-11-19,451,Salzburg
2020-11-20,609,Salzburg
2020-11-21,690,Salzburg
2020-11-22,27,Salzburg
2020-11-23,616,Salzburg
2020-11-24,485,Salzburg
2020-11-25,528,Salzburg
2020-11-26,548,Salzburg
2020-11-27,374,Salzburg
2020-11-28,319,Salzburg
2020-11-29,149,Salzburg
2020-11-30,285,Salzburg
2020-12-01,462,Salzburg
2020-12-02,292,Salzburg
2020-12-03,335,Salzburg
2020-12-04,242,Salzburg
2020-12-05,129,Salzburg
2020-12-06,120,Salzburg
2020-12-07,242,Salzburg
2020-12-08,187,Salzburg
2020-12-09,278,Salzburg
2020-12-10,224,Salzburg
